Month,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy
May,Accura,Rural,Saturday,Mar,3,Female,Divorced,45,Third Party,Sedan - Liability,Sport,less than 20000,44173,1,500,3,15 to 30,8 to 15,none,2 years,16 to 17,Yes,No,Internal,1 to 2,4 to 8 years,more than 8,Liability
Aug,Mercury,Rural,Thursday,Jun,2,Female,Divorced,61,Third Party,Utility - Collision,Sedan,more than 69000,55412,2,700,2,none,15 to 30,more than 4,7 years,41 to 50,No,Yes,Internal,1 to 2,no change,more than 8,Collision
Feb,Mazda,Rural,Monday,Dec,5,Female,Single,47,Policy Holder,Sedan - Collision,Sport,more than 69000,49748,3,300,1,none,8 to 15,2 to 4,6 years,31 to 35,Yes,No,Internal,1 to 2,under 6 months,more than 8,All Perils
Sep,Pontiac,Urban,Wednesday,Jun,4,Male,Single,45,Policy Holder,Sedan - All Perils,Utility,40000 to 59000,62564,8,400,3,1 to 7,8 to 15,none,7 years,16 to 17,Yes,Yes,External,none,no change,5 to 8,Collision
Jul,Ferrari,Rural,Sunday,Feb,3,Female,Divorced,69,Third Party,Sedan - All Perils,Sedan,more than 69000,46920,5,500,1,1 to 7,more than 30,1,4 years,36 to 40,Yes,Yes,External,1 to 2,1 year,1 vehicle,Collision
Dec,Nisson,Rural,Sunday,May,4,Male,Widow,50,Policy Holder,Sport - Liability,Utility,less than 20000,62699,7,400,1,15 to 30,15 to 30,2 to 4,new,26 to 30,Yes,Yes,External,more than 5,no change,1 vehicle,Liability
Mar,VW,Urban,Monday,Apr,2,Male,Widow,47,Policy Holder,Sedan - Liability,Sport,less than 20000,93542,7,700,3,1 to 7,8 to 15,none,6 years,51 to 65,Yes,Yes,External,3 to 5,2 to 3 years,more than 8,Liability
Sep,Saab,Rural,Friday,Aug,3,Female,Single,18,Policy Holder,Utility - All Perils,Utility,more than 69000,38710,5,400,4,1 to 7,8 to 15,none,3 years,21 to 25,Yes,No,Internal,1 to 2,1 year,2 vehicles,Liability
Sep,BMW,Rural,Sunday,Aug,4,Male,Divorced,65,Third Party,Utility - All Perils,Sport,60000 to 69000,74994,9,500,4,15 to 30,15 to 30,2 to 4,new,41 to 50,Yes,No,Internal,more than 5,1 year,2 vehicles,All Perils
Apr,VW,Urban,Wednesday,May,4,Female,Widow,78,Policy Holder,Sedan - All Perils,Sport,less than 20000,80020,6,300,2,15 to 30,8 to 15,more than 4,more than 7,36 to 40,No,Yes,External,more than 5,1 year,1 vehicle,Liability
Mar,Dodge,Urban,0,Jan,4,Female,Single,24,Third Party,Sport - All Perils,Sport,more than 69000,74221,8,300,2,15 to 30,15 to 30,2 to 4,new,26 to 30,Yes,Yes,Internal,1 to 2,2 to 3 years,2 vehicles,All Perils
Apr,Mecedes,Urban,Tuesday,Mar,4,Female,Divorced,56,Third Party,Sport - All Perils,Utility,20000 to 29000,36072,8,400,2,more than 30,none,none,4 years,21 to 25,No,No,External,more than 5,under 6 months,more than 8,All Perils
Jan,Mercury,Urban,Tuesday,Feb,1,Female,Married,32,Third Party,Utility - Liability,Sport,less than 20000,57499,3,500,2,1 to 7,more than 30,1,3 years,over 65,Yes,Yes,Internal,1 to 2,4 to 8 years,1 vehicle,Liability
Oct,Mercury,Urban,Saturday,Mar,2,Female,Divorced,17,Third Party,Utility - All Perils,Sport,20000 to 29000,13293,4,500,4,15 to 30,8 to 15,none,3 years,16 to 17,No,Yes,Internal,more than 5,no change,1 vehicle,All Perils
Apr,Mazda,Rural,Saturday,Mar,3,Female,Divorced,47,Policy Holder,Sedan - All Perils,Sport,20000 to 29000,19567,1,400,3,15 to 30,15 to 30,none,2 years,31 to 35,Yes,No,External,1 to 2,4 to 8 years,1 vehicle,All Perils
Dec,Mercury,Rural,0,Jul,1,Female,Widow,42,Policy Holder,Sport - All Perils,Sport,30000 to 39000,93942,5,500,4,1 to 7,8 to 15,2 to 4,2 years,51 to 65,Yes,Yes,Internal,3 to 5,4 to 8 years,2 vehicles,Liability
Jan,Porche,Rural,Tuesday,Apr,3,Female,Married,30,Policy Holder,Utility - Liability,Utility,30000 to 39000,56996,1,400,2,none,none,2 to 4,more than 7,16 to 17,Yes,No,External,1 to 2,under 6 months,more than 8,All Perils
Nov,Jaguar,Urban,Wednesday,Sep,3,Female,Single,36,Policy Holder,Sport - Liability,Utility,less than 20000,63835,9,300,3,15 to 30,none,1,3 years,over 65,Yes,Yes,Internal,3 to 5,2 to 3 years,2 vehicles,All Perils
May,VW,Rural,Thursday,Jan,2,Male,Single,57,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,37725,5,700,3,more than 30,none,1,5 years,51 to 65,No,No,External,more than 5,1 year,1 vehicle,Liability
Feb,Mercury,Urban,Saturday,Jan,4,Female,Divorced,48,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,44566,1,300,3,8 to 15,more than 30,1,more than 7,21 to 25,Yes,No,Internal,none,2 to 3 years,1 vehicle,Liability
Feb,Accura,Urban,Friday,Mar,4,Female,Widow,16,Third Party,Sport - Collision,Sedan,more than 69000,96034,6,400,3,15 to 30,more than 30,more than 4,6 years,31 to 35,Yes,No,External,more than 5,4 to 8 years,5 to 8,Collision
Nov,Accura,Rural,0,Aug,1,Female,Single,26,Policy Holder,Sport - All Perils,Sport,30000 to 39000,33039,4,400,2,15 to 30,8 to 15,more than 4,3 years,over 65,Yes,Yes,Internal,3 to 5,under 6 months,more than 8,Collision
Jul,Toyota,Urban,Tuesday,Nov,4,Female,Divorced,56,Policy Holder,Sedan - All Perils,Utility,40000 to 59000,51796,5,500,2,8 to 15,none,more than 4,7 years,21 to 25,No,Yes,Internal,none,4 to 8 years,5 to 8,Collision
Feb,Lexus,Rural,Saturday,Aug,4,Male,Widow,77,Third Party,Sedan - Liability,Sport,20000 to 29000,69773,7,400,1,8 to 15,none,2 to 4,new,18 to 20,No,Yes,External,none,under 6 months,1 vehicle,Collision
Feb,Honda,Rural,Thursday,Aug,3,Female,Widow,38,Policy Holder,Utility - All Perils,Utility,30000 to 39000,98254,6,500,3,none,none,1,6 years,16 to 17,Yes,No,External,none,4 to 8 years,more than 8,All Perils
Jul,Honda,Rural,Monday,Mar,2,Male,Widow,47,Policy Holder,Sport - All Perils,Sedan,40000 to 59000,25108,1,500,2,1 to 7,8 to 15,more than 4,7 years,21 to 25,Yes,Yes,Internal,3 to 5,4 to 8 years,1 vehicle,All Perils
May,Mazda,Urban,Wednesday,Aug,4,Female,Single,47,Third Party,Sport - All Perils,Sedan,30000 to 39000,56978,9,400,1,none,more than 30,1,new,41 to 50,Yes,Yes,Internal,none,4 to 8 years,5 to 8,Liability
Oct,Mercury,Rural,Friday,Apr,4,Female,Married,20,Policy Holder,Utility - Liability,Sedan,20000 to 29000,84907,3,700,1,more than 30,8 to 15,none,7 years,26 to 30,Yes,Yes,Internal,none,under 6 months,2 vehicles,All Perils
Jul,Saturn,Urban,Friday,Feb,1,Female,Single,16,Policy Holder,Sport - Liability,Sedan,40000 to 59000,84995,9,500,2,1 to 7,none,2 to 4,5 years,26 to 30,Yes,No,Internal,more than 5,under 6 months,5 to 8,Liability
Feb,Saturn,Rural,Sunday,Oct,3,Female,Married,55,Policy Holder,Sedan - Collision,Sedan,more than 69000,99140,5,300,4,8 to 15,8 to 15,more than 4,4 years,31 to 35,No,Yes,Internal,none,1 year,more than 8,All Perils
May,Saab,Urban,Monday,Sep,2,Male,Married,29,Policy Holder,Sport - Collision,Sedan,60000 to 69000,72838,7,400,2,none,8 to 15,1,5 years,51 to 65,No,Yes,External,more than 5,2 to 3 years,1 vehicle,All Perils
Sep,Saturn,Rural,Friday,Mar,4,Male,Single,53,Policy Holder,Utility - Collision,Sport,20000 to 29000,39963,9,400,4,8 to 15,none,more than 4,7 years,51 to 65,Yes,Yes,Internal,none,under 6 months,2 vehicles,Collision
May,Chevrolet,Rural,Friday,Apr,1,Female,Single,62,Policy Holder,Sport - Liability,Sedan,20000 to 29000,79217,9,400,2,more than 30,15 to 30,2 to 4,4 years,over 65,Yes,No,External,3 to 5,4 to 8 years,1 vehicle,Collision
Jan,Dodge,Urban,Sunday,Aug,5,Female,Widow,77,Policy Holder,Utility - All Perils,Sport,more than 69000,51086,2,700,3,8 to 15,none,none,7 years,over 65,Yes,No,External,1 to 2,no change,1 vehicle,Liability
Nov,Mazda,Urban,0,Aug,2,Female,Widow,24,Policy Holder,Sedan - All Perils,Sport,20000 to 29000,69321,5,700,2,none,more than 30,none,7 years,51 to 65,No,No,Internal,3 to 5,4 to 8 years,2 vehicles,Collision
Jun,Mecedes,Urban,0,Aug,1,Male,Married,61,Third Party,Sedan - Liability,Sport,20000 to 29000,45805,1,400,3,1 to 7,more than 30,1,2 years,21 to 25,Yes,No,Internal,3 to 5,no change,more than 8,All Perils
Jan,Lexus,Rural,Saturday,Oct,5,Male,Widow,25,Policy Holder,Utility - Liability,Sport,30000 to 39000,63239,9,300,4,15 to 30,15 to 30,1,7 years,16 to 17,No,Yes,External,more than 5,4 to 8 years,2 vehicles,Liability
May,Chevrolet,Urban,Sunday,Sep,2,Male,Divorced,18,Third Party,Utility - Liability,Sedan,40000 to 59000,52010,3,500,2,8 to 15,8 to 15,2 to 4,new,16 to 17,No,No,External,1 to 2,under 6 months,1 vehicle,Collision
Dec,Accura,Rural,Sunday,Dec,1,Female,Widow,77,Third Party,Sedan - All Perils,Sedan,more than 69000,69604,3,400,2,more than 30,15 to 30,more than 4,5 years,over 65,No,No,External,1 to 2,2 to 3 years,more than 8,All Perils
Jan,Mercury,Rural,Monday,Mar,5,Female,Divorced,28,Third Party,Sport - Liability,Utility,less than 20000,71391,3,500,3,more than 30,8 to 15,1,3 years,21 to 25,Yes,No,Internal,3 to 5,1 year,2 vehicles,All Perils
Jun,Mazda,Urban,0,Aug,1,Male,Widow,43,Policy Holder,Utility - All Perils,Sport,more than 69000,38574,7,400,3,1 to 7,15 to 30,1,7 years,16 to 17,No,No,Internal,3 to 5,1 year,5 to 8,All Perils
Jul,Saturn,Urban,Thursday,Aug,2,Male,Widow,74,Third Party,Sedan - Collision,Utility,60000 to 69000,40878,3,500,3,1 to 7,none,more than 4,3 years,41 to 50,No,Yes,Internal,none,2 to 3 years,3 to 4,All Perils
Feb,Toyota,Rural,Wednesday,Dec,2,Female,Widow,38,Third Party,Sedan - All Perils,Utility,40000 to 59000,80830,1,400,2,none,more than 30,none,4 years,41 to 50,No,Yes,Internal,3 to 5,under 6 months,1 vehicle,Liability
Nov,Mecedes,Urban,0,0,1,Female,Widow,34,Policy Holder,Utility - Collision,Sport,40000 to 59000,47775,9,700,3,more than 30,more than 30,none,more than 7,21 to 25,Yes,Yes,External,more than 5,under 6 months,1 vehicle,Liability
May,Ferrari,Rural,Thursday,Nov,1,Female,Single,37,Third Party,Sport - All Perils,Sport,60000 to 69000,82147,4,400,1,8 to 15,more than 30,more than 4,new,16 to 17,Yes,No,Internal,none,under 6 months,more than 8,Collision
Jul,Saab,Urban,Thursday,0,3,Female,Married,18,Third Party,Utility - All Perils,Utility,less than 20000,83577,9,700,2,none,none,more than 4,more than 7,36 to 40,Yes,Yes,External,none,2 to 3 years,5 to 8,Collision
Dec,Jaguar,Rural,Tuesday,Sep,4,Male,Single,16,Third Party,Sedan - All Perils,Sedan,more than 69000,39904,5,500,2,none,none,2 to 4,6 years,41 to 50,No,No,Internal,more than 5,under 6 months,more than 8,Collision
Dec,Ferrari,Rural,Wednesday,Jul,5,Male,Divorced,34,Third Party,Sedan - Liability,Sedan,more than 69000,35119,5,400,4,1 to 7,none,none,7 years,36 to 40,No,No,External,more than 5,2 to 3 years,3 to 4,Collision
Apr,Dodge,Rural,Friday,Jan,5,Female,Single,25,Third Party,Sport - Collision,Utility,30000 to 39000,13072,1,400,1,more than 30,15 to 30,1,new,21 to 25,No,No,Internal,1 to 2,4 to 8 years,3 to 4,Liability
Feb,Nisson,Urban,Thursday,Oct,2,Male,Divorced,39,Third Party,Sport - All Perils,Sport,40000 to 59000,70186,5,400,2,more than 30,15 to 30,more than 4,4 years,21 to 25,No,Yes,External,none,2 to 3 years,2 vehicles,Liability
Jan,Chevrolet,Rural,Sunday,0,3,Female,Widow,48,Third Party,Sedan - Collision,Sport,more than 69000,20717,1,300,1,1 to 7,more than 30,more than 4,4 years,26 to 30,No,Yes,External,1 to 2,1 year,3 to 4,Liability
Aug,BMW,Rural,Thursday,Mar,2,Female,Married,20,Third Party,Utility - All Perils,Sport,less than 20000,62246,4,700,3,1 to 7,none,more than 4,more than 7,over 65,No,No,External,none,1 year,3 to 4,Liability
Jan,BMW,Rural,Wednesday,Sep,2,Male,Widow,33,Third Party,Utility - All Perils,Sedan,30000 to 39000,54310,1,400,2,more than 30,more than 30,none,2 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils
May,Mecedes,Urban,0,Jan,1,Male,Divorced,37,Policy Holder,Utility - Collision,Sport,20000 to 29000,86724,6,700,3,more than 30,none,1,3 years,36 to 40,No,No,Internal,none,2 to 3 years,2 vehicles,Liability
Oct,Accura,Urban,Saturday,Nov,3,Female,Widow,74,Third Party,Sport - Liability,Sport,40000 to 59000,81538,2,300,3,none,8 to 15,2 to 4,6 years,51 to 65,No,Yes,External,more than 5,2 to 3 years,more than 8,All Perils
Apr,Ford,Rural,Sunday,Jun,5,Female,Married,22,Third Party,Sport - Liability,Utility,less than 20000,17921,5,500,2,8 to 15,none,none,5 years,18 to 20,Yes,No,Internal,none,1 year,2 vehicles,Liability
Jan,Porche,Rural,Wednesday,Mar,3,Male,Married,41,Third Party,Sedan - All Perils,Utility,40000 to 59000,13873,1,400,4,1 to 7,15 to 30,1,more than 7,36 to 40,Yes,Yes,External,1 to 2,4 to 8 years,1 vehicle,Collision
Nov,Pontiac,Rural,Monday,Nov,1,Male,Divorced,55,Policy Holder,Utility - Collision,Sport,20000 to 29000,62396,6,700,2,none,none,1,3 years,over 65,Yes,No,External,none,2 to 3 years,2 vehicles,All Perils
Nov,Ferrari,Urban,Wednesday,Oct,2,Male,Divorced,19,Policy Holder,Utility - Liability,Sport,30000 to 39000,35546,6,400,2,none,8 to 15,1,new,36 to 40,Yes,No,External,1 to 2,4 to 8 years,2 vehicles,All Perils
Mar,VW,Urban,Wednesday,Aug,3,Female,Divorced,80,Policy Holder,Sedan - All Perils,Sedan,more than 69000,94132,3,300,1,1 to 7,none,2 to 4,more than 7,26 to 30,Yes,No,Internal,more than 5,1 year,2 vehicles,All Perils
Aug,Saab,Urban,Friday,May,4,Male,Widow,52,Third Party,Sport - Liability,Sedan,more than 69000,95729,4,500,3,8 to 15,more than 30,2 to 4,5 years,18 to 20,No,No,External,more than 5,under 6 months,more than 8,Collision
Jan,Chevrolet,Rural,Wednesday,Dec,3,Female,Married,35,Third Party,Sedan - All Perils,Utility,60000 to 69000,89028,2,300,4,15 to 30,none,1,3 years,36 to 40,Yes,No,Internal,none,no change,2 vehicles,Collision
Aug,VW,Rural,Monday,Apr,4,Female,Widow,41,Third Party,Utility - All Perils,Sport,60000 to 69000,42332,7,300,2,15 to 30,none,2 to 4,4 years,16 to 17,No,No,External,3 to 5,4 to 8 years,5 to 8,All Perils
Jun,Mazda,Rural,0,0,3,Male,Married,21,Policy Holder,Sport - All Perils,Sedan,less than 20000,24726,4,700,3,none,8 to 15,2 to 4,more than 7,41 to 50,Yes,No,Internal,none,4 to 8 years,more than 8,Collision
Mar,Saturn,Urban,Saturday,Oct,5,Female,Married,69,Policy Holder,Sport - Collision,Sedan,less than 20000,19225,1,700,1,15 to 30,more than 30,2 to 4,5 years,36 to 40,Yes,Yes,Internal,none,4 to 8 years,3 to 4,All Perils
Aug,Porche,Urban,Sunday,Oct,2,Male,Single,26,Third Party,Sedan - All Perils,Sport,30000 to 39000,66814,4,700,2,more than 30,15 to 30,more than 4,2 years,51 to 65,Yes,Yes,External,3 to 5,1 year,3 to 4,Liability
Mar,BMW,Urban,Saturday,May,1,Female,Single,70,Third Party,Sport - Collision,Sedan,40000 to 59000,77356,5,400,3,more than 30,15 to 30,more than 4,more than 7,26 to 30,No,Yes,Internal,more than 5,2 to 3 years,3 to 4,All Perils
Jun,VW,Rural,Wednesday,Aug,2,Female,Married,75,Third Party,Sport - All Perils,Utility,60000 to 69000,61067,8,700,1,none,15 to 30,none,5 years,51 to 65,No,Yes,Internal,none,no change,5 to 8,Collision
Feb,Mercury,Urban,0,Jul,4,Male,Divorced,31,Policy Holder,Utility - Liability,Sedan,less than 20000,37971,4,300,1,more than 30,15 to 30,1,7 years,31 to 35,No,Yes,Internal,none,2 to 3 years,2 vehicles,Collision
Jan,Chevrolet,Urban,Tuesday,Apr,5,Male,Single,43,Third Party,Sedan - All Perils,Sport,30000 to 39000,83767,3,400,1,8 to 15,none,more than 4,more than 7,31 to 35,No,No,Internal,1 to 2,under 6 months,1 vehicle,All Perils
Apr,Toyota,Rural,Wednesday,Jan,4,Female,Widow,40,Third Party,Utility - All Perils,Sedan,20000 to 29000,41473,3,300,4,8 to 15,15 to 30,1,7 years,31 to 35,No,No,Internal,3 to 5,1 year,1 vehicle,All Perils
Dec,Nisson,Urban,0,Sep,3,Female,Married,42,Policy Holder,Utility - All Perils,Sedan,more than 69000,32835,8,500,3,8 to 15,none,1,2 years,31 to 35,No,Yes,External,more than 5,1 year,2 vehicles,Collision
Dec,BMW,Urban,Saturday,Nov,2,Male,Divorced,50,Policy Holder,Utility - Collision,Sedan,less than 20000,96182,2,400,3,none,8 to 15,more than 4,more than 7,26 to 30,Yes,Yes,Internal,1 to 2,2 to 3 years,1 vehicle,All Perils
Mar,Mercury,Urban,Friday,Oct,1,Female,Divorced,48,Policy Holder,Sport - Collision,Utility,60000 to 69000,49232,3,500,2,1 to 7,none,1,6 years,16 to 17,Yes,No,Internal,1 to 2,4 to 8 years,3 to 4,All Perils
Nov,Mecedes,Urban,Friday,Dec,5,Male,Widow,24,Third Party,Sedan - Collision,Utility,more than 69000,38047,9,400,2,15 to 30,15 to 30,2 to 4,3 years,36 to 40,Yes,Yes,External,none,under 6 months,2 vehicles,Collision
Feb,Nisson,Urban,0,Dec,2,Male,Widow,59,Policy Holder,Utility - Collision,Utility,less than 20000,36750,3,400,4,8 to 15,none,more than 4,2 years,21 to 25,Yes,No,External,3 to 5,4 to 8 years,3 to 4,Liability
Sep,Lexus,Urban,Friday,Jan,5,Female,Married,77,Policy Holder,Utility - All Perils,Sedan,20000 to 29000,76815,1,700,1,1 to 7,more than 30,more than 4,6 years,18 to 20,No,Yes,Internal,none,under 6 months,1 vehicle,Liability
Sep,Ferrari,Urban,Sunday,Sep,1,Male,Widow,78,Policy Holder,Sedan - All Perils,Sedan,more than 69000,47993,8,400,1,more than 30,15 to 30,2 to 4,2 years,26 to 30,No,Yes,External,none,no change,more than 8,Liability
Aug,BMW,Urban,Wednesday,May,4,Female,Single,68,Third Party,Sport - All Perils,Sport,40000 to 59000,99555,9,500,1,15 to 30,15 to 30,2 to 4,new,26 to 30,Yes,Yes,External,none,4 to 8 years,3 to 4,Liability
Aug,Lexus,Rural,Sunday,Nov,2,Female,Married,80,Policy Holder,Sedan - Liability,Sport,less than 20000,65947,2,300,4,8 to 15,more than 30,none,5 years,18 to 20,Yes,No,External,none,no change,1 vehicle,All Perils
Nov,BMW,Rural,0,Apr,4,Male,Divorced,68,Policy Holder,Sport - Liability,Utility,more than 69000,23014,1,700,1,15 to 30,more than 30,more than 4,4 years,21 to 25,Yes,No,Internal,more than 5,under 6 months,2 vehicles,All Perils
May,BMW,Urban,Saturday,Mar,3,Female,Widow,35,Third Party,Sport - Liability,Sedan,40000 to 59000,12740,1,300,3,15 to 30,more than 30,1,4 years,51 to 65,No,No,External,3 to 5,1 year,more than 8,Liability
Jan,Jaguar,Urban,0,Aug,2,Male,Single,59,Third Party,Sport - Collision,Utility,20000 to 29000,68147,8,400,3,none,more than 30,more than 4,2 years,51 to 65,Yes,No,External,1 to 2,1 year,3 to 4,Liability
Nov,Pontiac,Urban,Wednesday,Sep,5,Female,Married,17,Policy Holder,Sedan - Collision,Utility,less than 20000,44151,6,300,4,8 to 15,8 to 15,more than 4,6 years,31 to 35,Yes,No,External,1 to 2,2 to 3 years,more than 8,Liability
Apr,Jaguar,Rural,Friday,Aug,2,Female,Single,62,Policy Holder,Sedan - Collision,Utility,20000 to 29000,88300,7,500,2,none,15 to 30,none,7 years,31 to 35,Yes,Yes,Internal,3 to 5,under 6 months,2 vehicles,Collision
Nov,Jaguar,Urban,Sunday,Dec,5,Male,Divorced,25,Third Party,Sport - Liability,Sport,less than 20000,52328,8,400,3,1 to 7,none,none,5 years,18 to 20,No,Yes,Internal,3 to 5,under 6 months,3 to 4,Collision
Jan,Saturn,Rural,Friday,0,5,Female,Married,0,Policy Holder,Utility - Liability,Sport,40000 to 59000,16850,3,400,4,none,more than 30,1,2 years,31 to 35,Yes,No,Internal,3 to 5,under 6 months,3 to 4,Collision
Jul,BMW,Rural,Wednesday,Dec,1,Male,Married,34,Third Party,Sport - Collision,Utility,60000 to 69000,83084,5,500,4,1 to 7,8 to 15,none,3 years,26 to 30,Yes,Yes,External,3 to 5,1 year,2 vehicles,Liability
Apr,Dodge,Rural,Thursday,Mar,2,Female,Divorced,49,Policy Holder,Sport - Collision,Sport,60000 to 69000,72280,4,700,1,none,15 to 30,none,6 years,36 to 40,No,Yes,Internal,more than 5,1 year,more than 8,Liability
Oct,Mazda,Rural,Saturday,Aug,3,Female,Widow,65,Policy Holder,Utility - Collision,Sedan,20000 to 29000,98648,2,400,3,1 to 7,15 to 30,1,7 years,51 to 65,Yes,No,Internal,more than 5,2 to 3 years,2 vehicles,Liability
Jan,BMW,Rural,Thursday,0,3,Male,Single,59,Third Party,Sedan - Collision,Sedan,60000 to 69000,20257,4,400,2,15 to 30,15 to 30,2 to 4,5 years,51 to 65,Yes,No,External,3 to 5,4 to 8 years,5 to 8,Collision
Jan,Mecedes,Rural,Wednesday,Mar,1,Male,Single,65,Third Party,Sedan - All Perils,Utility,20000 to 29000,52441,4,400,2,8 to 15,15 to 30,1,2 years,51 to 65,No,Yes,External,3 to 5,4 to 8 years,1 vehicle,Collision
Jun,Honda,Rural,Saturday,Mar,4,Female,Divorced,72,Third Party,Utility - Collision,Sport,60000 to 69000,87841,3,400,4,none,8 to 15,more than 4,4 years,26 to 30,No,Yes,Internal,none,1 year,5 to 8,Collision
Sep,Honda,Rural,Monday,Feb,4,Male,Divorced,48,Policy Holder,Sport - Liability,Sedan,40000 to 59000,42794,3,300,4,15 to 30,more than 30,more than 4,5 years,21 to 25,Yes,Yes,Internal,none,1 year,1 vehicle,All Perils
Mar,Accura,Rural,0,Feb,4,Female,Married,28,Policy Holder,Sport - All Perils,Sport,more than 69000,27051,6,400,3,none,none,none,more than 7,over 65,Yes,Yes,Internal,1 to 2,1 year,3 to 4,All Perils
Dec,Chevrolet,Urban,Friday,Dec,3,Female,Divorced,30,Policy Holder,Sport - Collision,Utility,more than 69000,82002,3,300,2,none,more than 30,none,4 years,18 to 20,Yes,No,Internal,3 to 5,4 to 8 years,3 to 4,Liability
Oct,Chevrolet,Urban,Saturday,Aug,5,Male,Divorced,42,Third Party,Sedan - Collision,Sedan,40000 to 59000,24937,5,300,4,more than 30,8 to 15,none,4 years,21 to 25,No,No,External,3 to 5,2 to 3 years,2 vehicles,Liability
Apr,VW,Rural,Tuesday,Jan,4,Female,Single,18,Policy Holder,Sport - Liability,Utility,less than 20000,82173,3,400,2,1 to 7,15 to 30,none,4 years,26 to 30,Yes,No,Internal,more than 5,4 to 8 years,more than 8,Liability
Aug,Saturn,Rural,Tuesday,Apr,4,Male,Widow,31,Policy Holder,Sport - Liability,Utility,more than 69000,36480,4,400,2,8 to 15,none,more than 4,new,over 65,Yes,Yes,Internal,1 to 2,4 to 8 years,2 vehicles,All Perils
Jul,Toyota,Rural,Wednesday,Jul,2,Male,Single,64,Policy Holder,Utility - Collision,Sport,30000 to 39000,69850,5,500,2,8 to 15,15 to 30,2 to 4,6 years,16 to 17,No,Yes,External,1 to 2,2 to 3 years,2 vehicles,Liability
